iso3,year,unemployment_youth
MNE,1997,54.764
MAR,1997,20.592
MOZ,1997,5.748
MMR,1997,1.383
NAM,1997,46.586
NPL,1997,19.047
NLD,1997,9.773
NCL,1997,44.838
NZL,1997,13.629
NIC,1997,11.197
NER,1997,3.131
NGA,1997,9.723
MKD,1997,64.422
NOR,1997,14.629
OMN,1997,13.406
PAK,1997,0.965
PAN,1997,13.695
PNG,1997,5.179
PRY,1997,11.266
PER,1997,5.904
PHL,1997,9.352
POL,1997,22.377
PRT,1997,14.149
PRI,1997,27.281
QAT,1997,2.744
ROU,1997,17.358
RUS,1997,23.528
RWA,1997,15.33
WSM,1997,8.259
STP,1997,21.022
SAU,1997,23.865
SEN,1997,2.893
SRB,1997,30.939
SLE,1997,7.682
SGP,1997,5.486
SVK,1997,22.542
SVN,1997,16.46
SLB,1997,3.388
SOM,1997,34.629
ZAF,1997,35.936
SSD,1997,17.93
ESP,1997,38.93
LKA,1997,31.927
LCA,1997,33.121
VCT,1997,38.114
SDN,1997,26.24
SUR,1997,26.103
SWE,1997,21.223
CHE,1997,5.997
SYR,1997,13.431
TJK,1997,29.442
TZA,1997,5.866
THA,1997,2.294
TLS,1997,10.17
TGO,1997,6.691
TON,1997,7.322
TTO,1997,27.097
TUN,1997,31.656
TUR,1997,14.307
TKM,1997,21.393
UGA,1997,4.941
UKR,1997,16.699
ARE,1997,4.492
GBR,1997,13.567
USA,1997,11.401
URY,1997,28.173
UZB,1997,22.763
VUT,1997,14.042
VEN,1997,18.659
VNM,1997,5.957
